paper_index,authors,title
NE35473,"s. madden, m. shah, j. hellerstein, and v. raman",continuously adaptive continuous queries over streams
NE35471,s. krishnamurthy and,telegraphcq: an architectural status report
NE35470,"n. jain, l. amini, h. andrade, r. king, y. park, p. selo, and c. venkatramani. design","implementation, and evaluation of the linear road"
NE35477,"m. w. blasgen, m. m. astrahan",system r: an architectural overview
NE35475,s. zdonik and,the aurora and medusa projects
NE35474,"y. tao, m. l. yiu, d. papadlas, m. hadjieleftheriou, and n. mamoulis",rpj: producing fast join results on streams through rate-based optimization
7D7B33D4,juwon song + minjae lee + kyuyoung whang + sangwookkim + youngkoo lee,Spatial join processing using corner transformation
NE35478,ibm,ibm red brick warehouse administrator's guide
7F6C724D,frank r kschischang + brendan j frey + hansandrea loeliger,Factor graphs and the sum-product algorithm
0BDEA338,richard holowczak + soon ae chun + francisco artigas + vijayalakshmi atluri,Applications: Customized Geospatial Workflows for E-Government Service
58FFA5FE,philippe bonnet + praveen seshadri + johannes gehrke,Towards Sensor Database Systems
7DABE0DA,sharad mehrotra + bijit hore + gene tsudik,A privacy-preserving index for range queries
5CD0D1D6,c mohan,Commit_LSN: A Novel and Simple Method for Reducing Locking and Latching in Transaction Processing Systems
5D04EDE9,jayant madhavan + alon halevy,Composing mappings among data sources
7BBA9C46,cesar a galindolegaria + m m joshi,Orthogonal optimization of subqueries and aggregation
NE35697,i. s,wireless medium access control (mac) and physical layer (phy) specifications for low rate wireless personal area networks
NE35696,i. s,ieee standard for wireless lan medium access control (mac) and physical layer (phy) specifications
NE35695,weblink,the network simulator
NE35690,"h. gonzalez, j. han, x. li, and d. klabjan",warehousing and analysis of massive rfid data sets
7E772D39,rakesh mohan + john r smith + chungsheng li,Adapting multimedia Internet content for universal access
66F6E36D,terry gaasterland + ben snyder + alexey novoradovsky + bahar taneri,Databases for Comparative Analysis of Human-Mouse Orthologous Alternative Splicing
79AD8373,michael stonebraker,The case for partial indexes
817E7926,yannis papakonstantinou + jennifer widom + hector garciamolina + jeffrey d ullman + sudarshan s chawathe + kelly ireland + joachim hammer,The TSIMMIS Project: Integration of Heterogeneous Information Sources
NE9205,l. zadeh,fuzzy sets
5C55713C,brian w mcbride,Jena: Implementing the rdf model and syntax specification
NE20076,p. samarati,protecting respondent's privacy in microdata release
5BCB307D,chris clifton + donald g marks,Security and Privacy Implications of Data Mining
7D9FF117,david hart + selina chu + michael pazzani + eamonn keogh,An online algorithm for segmenting time series
5FE21FD0,jeffrey f naughton + avi pfeffer + joseph m hellerstein,Generalized Search Trees for Database Systems
03D80C47,dan suciu + nilesh dalvi,Tutorial: Foundations of probabilistic answers to queries
5E6D29FC,graham cormode + s muthukrishnan,Estimating Dominance Norms of Multiple Data Streams
5B85BD0A,john bather,Decision theory : an introduction to dynamic programming and sequential decisions
