source,target
80B7396A,NE34388
80B7396A,7563EEC2
80B7396A,7D379A7D
80B7396A,7D7E37B8
80B7396A,7FC0EB43
80B7396A,0664F710
80B7396A,NE14597
80B7396A,NE16447
80B7396A,0B65F4CF
80B7396A,5B82827D
80B7396A,8089D251
80B7396A,NE11176
80B7396A,7ED1C192
80B7396A,80A358D5
80B7396A,7FC0EB43
80B7396A,5B7A210A
80B7396A,0585AEF1
80B7396A,768770EA
80B7396A,8089D251
80B7396A,0585AEF1
80B7396A,80A358D5
80B7396A,7ED1C192
80B7396A,7563EEC2
80B7396A,5B7A210A
80B7396A,620D11AF
80B7396A,5DE5AA4E
80B7396A,74750EEA
80B7396A,7A1924D9
80B7396A,7E9FEE4E
80B7396A,80C661F3
80B7396A,7D7E37B8
80B7396A,80060D7C
80B7396A,7D379A7D
80B7396A,5B087EA3
80B7396A,5D7AF49C
80B7396A,0664F710
7E09E1F3,NE35156
7E09E1F3,NE35155
7E09E1F3,NE35154
7E09E1F3,NE34431
7E09E1F3,NE35144
7E09E1F3,NE35145
7E09E1F3,NE35146
7E09E1F3,NE35153
7E09E1F3,NE35152
7E09E1F3,5EA40DAC
7E09E1F3,5B50A8B2
7E09E1F3,5F655352
7E09E1F3,59ABEDDD
7E09E1F3,NE35149
7E09E1F3,NE35147
7E09E1F3,NE29662
7E09E1F3,59ABEDDD
7E09E1F3,5E0B0F43
7E09E1F3,85E9D176
7E09E1F3,7F1CA057
7E09E1F3,5F655352
7E09E1F3,5B50A8B2
7E09E1F3,690FE76B
7F4F943E,80C5BCA4
7F4F943E,5ADBE0E3
7F4F943E,7EA28A4E
7F4F943E,5BD26B01
7F4F943E,7E31D4B5
7F4F943E,7F3EDE1E
7F4F943E,0C2892C4
7F4F943E,7F7E5B65
7F4F943E,5CAD70BF
7F4F943E,66499DDF
7F4F943E,7E3AE8CA
7F4F943E,750AE6DA
7F4F943E,7E150FAB
7F4F943E,80CC88E0
7F4F943E,099A7D23
7F4F943E,5C1BD683
7E5B5DA6,7DD4A4F8
7E5B5DA6,NE30747
7E5B5DA6,7DCB1046
7E5B5DA6,7DBBDE41
7E5B5DA6,NE34400
7E5B5DA6,NE34398
7E5B5DA6,7B4C9D47
7E5B5DA6,75B090C0
7E5B5DA6,NE34397
7E5B5DA6,NE34396
7E5B5DA6,NE34401
7E5B5DA6,76E49E2F
7E5B5DA6,NE34395
7E5B5DA6,NE31917
7E5B5DA6,7FA8E9C4
7E5B5DA6,7DBBDE41
7E5B5DA6,7DD4A4F8
7E5B5DA6,7DB72295
7E5B5DA6,7D904A1D
7E5B5DA6,75B090C0
7E5B5DA6,7CB5390B
7E5B5DA6,7B4C9D47
7E5B5DA6,7D904A1D
7E5B5DA6,76E49E2F
7E5B5DA6,7FA8E9C4
7E5B5DA6,7F569EBA
7E5B5DA6,7DCB1046
7D6B6920,NE34466
7D6B6920,5DD4EE2C
7D6B6920,NE34459
7D6B6920,NE34460
7D6B6920,NE34461
7D6B6920,NE34462
7D6B6920,NE34464
7D6B6920,NE34465
7D6B6920,NE34458
7D6B6920,794E33EB
7D6B6920,NE34453
7D6B6920,8022A935
7D6B6920,80928227
7D6B6920,NE34450
7D6B6920,NE34449
7D6B6920,NE34448
7D6B6920,NE34444
7D6B6920,NE34443
7D6B6920,NE34442
7D6B6920,NE34441
7D6B6920,NE34457
7D6B6920,NE34447
7D6B6920,NE34446
7D6B6920,5B8237E0
7D6B6920,76BE3D28
7D6B6920,5DD4EE2C
7D6B6920,85C7E261
7D6B6920,75DC356E
7D6B6920,NE34445
7D6B6920,7E94896A
7D6B6920,7F5B8552
7D6B6920,80928227
7D6B6920,077B2518
7D6B6920,7637E99A
7D6B6920,794E33EB
7ED1A8B1,NE35169
7ED1A8B1,NE35168
7ED1A8B1,80171753
7ED1A8B1,78CC1B6A
7ED1A8B1,7954848F
7ED1A8B1,NE35173
7ED1A8B1,77BD5570
7ED1A8B1,80BBD719
7ED1A8B1,78CC1B6A
7ED1A8B1,80C4B674
7ED1A8B1,78CC1B6A
7ED1A8B1,69285F45
7ED1A8B1,7FD4CA46
7ED1A8B1,7DAF08D5
7ED1A8B1,7F860A07
7ED1A8B1,807E4242
7ED1A8B1,NE35174
7ED1A8B1,7F809C75
7ED1A8B1,8.17E+50
7ED1A8B1,7F737D6B
7ED1A8B1,79CF69DD
7E355CBB,7D298C86
7E355CBB,NE34650
7E355CBB,7A1C5C5D
7E355CBB,NE11304
7E355CBB,25C83DA8
7E355CBB,7C5909AD
7E355CBB,77BD7ADE
7E355CBB,NE34652
7E355CBB,02AAAC6D
7E355CBB,NE34654
7E355CBB,7B4E1464
7E355CBB,NE34655
7E355CBB,7DE3BCB2
7E355CBB,6C55CB6F
7E355CBB,7EBB0350
7E355CBB,NE34656
7E355CBB,7F46000D
7E355CBB,7B89DA05
7E355CBB,NE34657
7E355CBB,5EFA66D0
7E355CBB,80582219
7E355CBB,7EF39DF4
7E355CBB,5D5EE321
7E355CBB,7BDC34F8
7E355CBB,59F961F6
7E355CBB,NE23723
7E355CBB,5F6F8D08
7E355CBB,NE34659
7E355CBB,59F961F6
7E355CBB,NE34661
7E355CBB,7F46000D
7E355CBB,NE34662
7E355CBB,7A1C5C5D
7E355CBB,7DE3BCB2
7E355CBB,02AAAC6D
7E355CBB,6C55CB6F
7E355CBB,6384853
7E355CBB,7EBB0350
7E355CBB,7C5909AD
7E355CBB,7DF85657
7E355CBB,77BD7ADE
7E355CBB,7EF39DF4
7E355CBB,7E79B813
7E355CBB,76F6FA91
7E355CBB,7D298C86
7E355CBB,5C8967A1
7E355CBB,7BA8FFAC
7E355CBB,80582219
7E355CBB,5D5EE321
7E355CBB,5F6F8D08
7E355CBB,6384853
7E355CBB,792F408C
7E355CBB,7BDC34F8
7E6457E4,7DD505BD
7E6457E4,7634E54A
7E6457E4,NE31519
7E6457E4,597CBCBE
7E6457E4,NE35271
7E6457E4,NE35270
7E6457E4,5ACF923C
7E6457E4,9340458
7E6457E4,597CBCBE
7E6457E4,NE35266
7E6457E4,5BD0C669
7E6457E4,72E1F2FF
7E6457E4,7DFAB6B2
7E6457E4,5D3C2879
7E6457E4,7634E54A
7E6457E4,7E199855
7E6457E4,7A61A484
7E6457E4,0B491018
7E6457E4,7EAF0458
7E6457E4,7D578CFD
7E6457E4,7A57BE1B
7E6457E4,76EC89BD
7E6457E4,9340458
7E6457E4,792308B6
7E6457E4,7D6C1B6E
7E6457E4,7BB66AD8
7E6457E4,593F4E3B
7E6457E4,01EAB18F
7E6457E4,799DA595
7E6457E4,58C3123B
7E6457E4,799C66C4
7E6457E4,7DD505BD
80BE3207,6D4D5A85
80BE3207,5E49E817
80BE3207,77ABFFD1
80BE3207,75298BAB
80BE3207,7B117957
80BE3207,7998D10D
80BE3207,008788AD
80BE3207,789438C5
80BE3207,7BE657E1
80BE3207,75EBE974
8157BFFB,09E7EE61
8157BFFB,810684B2
8157BFFB,NE35318
8157BFFB,NE30731
8157BFFB,NE33326
8157BFFB,NE31948
8157BFFB,59A82BCE
8157BFFB,807EEC15
8157BFFB,NE31686
8157BFFB,NE31266
8157BFFB,7DF2B059
8157BFFB,0F1453CB
8157BFFB,807EEC15
8157BFFB,7E93F48F
8157BFFB,7E93F48F
8157BFFB,7F2A7F3A
8157BFFB,5B4F36DC
8157BFFB,59A82BCE
8157BFFB,810684B2
806AB14A,5B85685B
806AB14A,7DAAE1D6
806AB14A,7F6A9842
806AB14A,7C8D4C37
806AB14A,5858E498
806AB14A,7AA82AB5
806AB14A,63117134
7E6ACB59,6D9583F3
7E6ACB59,7FC0EB43
7E6ACB59,5D6C196A
7E6ACB59,NE34146
7E6ACB59,7CFC051F
7E6ACB59,075A02B4
7E6ACB59,85EA8AFD
7E6ACB59,7F26768D
